Elapsedtime,r,g,b,bpm
0:00:09.928305,0,1,0,75
0:00:09.940274,0,1,0,75
0:00:09.952385,0,1,0,75
0:00:09.964351,0,1,0,75
0:00:09.976537,0,1,0,75
0:00:09.989571,0,1,0,75
0:00:10.003365,0,1,0,75
0:00:10.017566,0,1,0,75
0:00:10.030571,0,0,0,75
0:00:10.044609,0,0,0,75
0:00:10.057636,0,0,0,75
0:00:10.071846,0,0,0,75
0:00:10.084791,0,0,0,75
0:00:10.097977,0,0,0,75
0:00:10.112064,0,0,0,75
0:00:10.125324,0,0,0,75
0:00:10.138848,0,1,0,75
0:00:10.153804,0,1,0,75
0:00:10.168820,0,1,0,75
0:00:10.183475,0,1,0,75
0:00:10.197605,0,1,0,75
0:00:10.211130,0,1,0,75
0:00:10.224432,0,1,0,75
0:00:10.238391,0,0,0,75
0:00:10.252629,0,0,0,75
0:00:10.266721,0,0,0,75
0:00:10.280776,0,0,0,75
0:00:10.294788,0,0,0,75
0:00:10.306749,0,0,0,75
0:00:10.318744,0,0,0,75
0:00:10.331661,0,0,0,75
0:00:10.345622,0,0,0,75
0:00:10.358588,0,0,0,75
0:00:10.372982,0,0,0,75
0:00:10.386987,0,1,0,75
0:00:10.401968,0,1,0,75
0:00:10.416010,0,1,0,75
0:00:10.431314,0,1,0,75
0:00:10.446516,0,1,0,75
0:00:10.460919,0,1,0,75
0:00:10.474604,0,0,0,75
0:00:10.487894,0,0,0,75
0:00:10.502344,0,0,0,75
0:00:10.517324,0,0,0,75
0:00:10.531286,0,0,0,75
0:00:10.545554,0,0,0,75
0:00:10.560594,0,0,0,75
0:00:10.574816,0,0,0,75
0:00:10.589438,0,0,0,75
0:00:10.603571,0,0,0,75
0:00:10.616947,0,0,0,75
0:00:10.631951,0,0,0,75
0:00:10.646942,0,1,0,75
0:00:10.661115,0,1,0,75
0:00:10.675378,0,1,0,75
0:00:10.687340,0,1,0,75
0:00:10.699486,0,1,0,75
0:00:10.711453,0,1,0,75
0:00:10.722378,0,1,0,75
0:00:10.733928,0,0,0,75
0:00:10.745276,0,0,0,75
0:00:10.757801,0,0,0,75
0:00:10.771438,0,0,0,75
0:00:10.783855,0,0,0,75
0:00:10.796864,0,0,0,75
0:00:10.809832,0,0,0,75
0:00:10.822252,0,0,0,75
0:00:10.834447,0,0,0,75
0:00:10.847560,0,0,0,75
0:00:10.859531,0,1,0,75
0:00:10.873679,0,1,0,75
0:00:10.886672,0,1,0,75
0:00:10.898645,0,1,0,75
0:00:10.910615,0,1,0,75
0:00:10.922583,0,1,0,75
0:00:10.934548,0,1,0,75
0:00:10.946595,0,0,0,75
0:00:10.959540,0,0,0,75
0:00:10.972549,0,0,0,75
0:00:10.985484,0,0,0,75
0:00:10.999497,0,0,0,75
0:00:11.013845,0,0,0,75
0:00:11.027321,0,0,0,75
0:00:11.040527,0,0,0,75
0:00:11.055185,0,0,0,75
0:00:11.069182,0,0,0,75
0:00:11.082147,0,0,0,75
0:00:11.095155,0,0,0,75
0:00:11.109132,0,0,0,75
0:00:11.123237,0,0,0,75
0:00:11.136234,0,0,0,75
0:00:11.149547,0,0,0,75
0:00:11.162826,0,0,0,75
0:00:11.176836,0,0,0,75
0:00:11.189713,0,0,0,75
0:00:11.204093,0,0,0,75
0:00:11.218426,0,0,0,75
0:00:11.231569,0,0,0,75
0:00:11.245536,0,0,0,75
0:00:11.259498,0,0,0,75
0:00:11.274458,0,0,0,74
